Rows	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
h_stripe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	0	1.48E-05	6.16E-05	0.000257217	0.00107287	0.00445758	0.0182263	0.0700001	0.218886	4.46E-01	5.94E-01	0.644644	0.593593	0.446067	0.218886	0.0700001	0.0182263	0.00445758	0.00107287	0.000257217	6.16E-05	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0	1.63E-05	5.33E-05	0.000174291	0.000569322	0.00185763	0.00603961	0.0194112	0.0601824	0.168435	0.374634	0.599026	0.733452	7.88E-01	7.33E-01	0.599026	0.374634	1.68E-01	0.0601824	0.0194112	0.00603961	0.00185763	0.000569322	0.000174291	5.33E-05	1.63E-05	0	0	0	0	0	0	0	0
run_stripe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16869E-08	5.3289E-07	3.0963E-06	1.79603E-05	0.000103167	0.000561344	0.002379333	0.005373263	0.006857859	0.005373263	0.002379333	0.000561344	0.000103167	1.80716E-05	3.54114E-06	2.3096E-06	7.18333E-06	2.82344E-05	0.000111294	0.000422215	0.001404212	0.003361051	0.005161616	0.00596102	0.005161616	0.003361051	0.001404212	0.000422215	0.000111294	2.82344E-05	7.09165E-06	1.77671E-06	4.44845E-07	1.11362E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14934E-07	5.49653E-07	2.62791E-06	1.25478E-05	5.95437E-05	0.000274533	0.001120273	0.003147909	0.005064515	0.005803283	0.005064515	0.003147909	0.001120273	0.000274533	5.95437E-05	1.25478E-05	2.62791E-06	5.49653E-07	1.14934E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1766E-07	6.64531E-07	2.02869E-06	6.19132E-06	1.88783E-05	5.74058E-05	0.000173125	0.000509535	0.001401465	0.003284545	0.005866101	0.007899606	0.008911424	0.009301616	0.008911424	0.007899606	0.005866101	0.003284545	0.001401465	0.000509535	0.000173125	5.74058E-05	1.88783E-05	6.19132E-06	2.02869E-06	6.64531E-07	2.1766E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6402E-08	3.14062E-07	1.2909E-06	5.30448E-06	2.17705E-05	8.89107E-05	0.000355968	0.001321769	0.003887819	0.007367065	0.009417215	0.01010101	0.009417215	0.007367065	0.003887819	0.001321769	0.000355968	8.89107E-05	2.17705E-05	5.30448E-06	1.2909E-06	3.14062E-07	7.6402E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57123E-08	5.12784E-07	3.06715E-06	1.83228E-05	0.000108648	0.000617176	0.002835253	0.007100545	0.009485727	0.01004999	0.009485727	0.007100545	0.002835253	0.000617176	0.000108648	1.83228E-05	3.06715E-06	5.12784E-07	8.57123E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65725E-07	8.32288E-07	2.60637E-06	8.15749E-06	2.54866E-05	7.91944E-05	0.000241998	0.000704051	0.001803141	0.003594586	0.005264263	0.006180778	0.006544576	0.006180778	0.005264263	0.003594586	0.001803141	0.000704051	0.000241998	7.91944E-05	2.54866E-05	8.15749E-06	2.60637E-06	8.32288E-07	2.65725E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run_stripe7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.64602E-08	6.64408E-07	5.10279E-06	3.90197E-05	0.000288761	0.001727222	0.004909545	0.006457727	0.004909545	0.001727222	0.000288761	3.90197E-05	5.10279E-06	6.64408E-07	8.64602E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gt_(-1)		0.0264897703922094	0.032520325203252	0.0305101402662378	0.0494505494505494	0.0517287590458322	0.0637451978915393	0.0539622978647369	0.0337711069418386	0.0196551416063611	0.0127758420441347	0.00415438220316269	0.00299294201733226	0.0151433931921737	0.05834003394979	0.116099347806665	0.240373447690521	0.368623246672027	0.447020459215581	0.561913696060037	0.622978647368891	0.633610292146877	0.60729920486018	0.557044581434825	0.523630840704011	0.478021978021978	0.466854283927455	0.468105065666041	0.518225676762262	0.61877959438935	0.744081122129902	0.867104440275172	0.944206200303761	0.996783704100777	1	0.946663093004556	0.865585633878317	0.727642276422764	0.548199767711963	0.384883409273653	0.209684624318771	0.113910479764138	0.0610649513088537	0.0297954078441883	0.0164835164835165	0.00924685071026534	0.00625390869293308	0.0054498347181274	0.00540516394174931	0.00527115161261503	0.00415438220316269	0.00370767443938176	0.0041097114267846	0.00321629589922273	0.00169748950236755	0.00120611096220852	0.00107209863307424	0	0	0	0	0	0.000670061645671402	0.0114357187527919	0.034396497811132	0.0785312248726883	0.167202715983204	0.27812025373001	0.402841061377647	0.533860448494595	0.611453587063343	0.667738765299741	0.693871169480926	0.690431519699812	0.639015456088627	0.553962297864737	0.470338604484946	0.382024479585455	0.280041097114268	0.193915840257304	0.136424551058697	0.0940319842758867	0.064995979630126	0.0451174841418744	0.0324309836504958	0.0228267667292058	0.0155454301795765	0.00982757080318056	0.0061645671401769	0.00281425891181989	0.000625390869293308	0.0000446707763780934	0	0	0	0	0	0	0	0	0
gt_(-3)		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000670061645671402	0.0114357187527919	0.034396497811132	0.0785312248726883	0.167202715983204	0.27812025373001	0.402841061377647	0.533860448494595	0.611453587063343	0.667738765299741	0.693871169480926	0.690431519699812	0.639015456088627	0.553962297864737	0.470338604484946	0.382024479585455	0.280041097114268	0.193915840257304	0.136424551058697	0.0940319842758867	0.064995979630126	0.0451174841418744	0.0324309836504958	0.0228267667292058	0.0155454301795765	0.00982757080318056	0.0061645671401769	0.00281425891181989	0.000625390869293308	0.0000446707763780934	0	0	0	0	0	0	0	0	0
gt_(-10)	0.0264897703922094	0.032520325203252	0.0305101402662378	0.0494505494505494	0.0517287590458322	0.0637451978915393	0.0539622978647369	0.0337711069418386	0.0196551416063611	0.0127758420441347	0.00415438220316269	0.00299294201733226	0.0151433931921737	0.05834003394979	0.116099347806665	0.240373447690521	0.368623246672027	0.447020459215581	0.561913696060037	0.622978647368891	0.633610292146877	0.60729920486018	0.557044581434825	0.523630840704011	0.478021978021978	0.466854283927455	0.468105065666041	0.518225676762262	0.61877959438935	0.744081122129902	0.867104440275172	0.944206200303761	0.996783704100777	1	0.946663093004556	0.865585633878317	0.727642276422764	0.548199767711963	0.384883409273653	0.209684624318771	0.113910479764138	0.0610649513088537	0.0297954078441883	0.0164835164835165	0.00924685071026534	0.00625390869293308	0.0054498347181274	0.00540516394174931	0.00527115161261503	0.00415438220316269	0.00370767443938176	0.0041097114267846	0.00321629589922273	0.00169748950236755	0.00120611096220852	0.00107209863307424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
